symbol,direction,entry_date,exit_date,entry_price,exit_price,size,pnl,hold_days,exit_reason,capital_after
RM,空,2022-11-11,2022-11-15,3200.0,3043.074285714286,1,1547.406382857141,4,ATR止盈,12790.32460121942
M,空,2022-11-08,2022-11-18,4228.0,4109.0,1,1160.8205,10,超时10天,13951.14510121942
RM,多,2022-11-16,2022-11-28,3035.0,3047.0,1,98.713,12,超时12天,14049.858101219419
RM,空,2022-12-09,2022-12-14,3166.0,3036.6525142857145,1,1271.7655733428553,5,ATR止盈,15321.623674562274
M,空,2022-12-09,2022-12-14,4420.0,4286.116,1,1308.368594,5,ATR止盈,16629.992268562273
RM,多,2022-12-15,2022-12-26,3016.0,3156.0317714285716,1,1378.7156030857157,11,ATR止盈,18008.70787164799
M,多,2022-12-20,2022-12-30,3715.0,3926.4572857142857,1,2087.8277566428574,10,ATR止盈,20096.535628290847
TA,空,2022-12-27,2022-12-30,5426.0,5540.0,1,-589.1905,3,回测结束,19507.345128290846
TA,空,2023-03-07,2023-03-16,5768.0,5568.274971428572,1,978.7866616571404,9,ATR止盈,10978.786661657141
TA,多,2023-03-17,2023-03-20,5528.0,5754.534171428571,1,1112.9264223428572,3,ATR止盈,12091.713083999999
TA,空,2023-03-31,2023-04-03,6268.0,6577.824853599999,1,-1571.604461493796,3,硬止损,10520.108622506203
TA,空,2023-04-04,2023-04-11,6310.0,5981.309428571429,1,1621.9430656428565,7,ATR止盈,12142.051688149058
TA,多,2023-04-21,2023-05-04,5770.0,5474.865654,1,-1495.3502448944992,13,硬止损,10646.701443254558
RM,空,2023-05-17,2023-05-29,3046.0,2930.0,1,1139.084,12,超时12天,11785.78544325456
RM,多,2023-05-31,2023-06-12,2927.0,3005.0,1,759.238,12,超时12天,12545.023443254559
RM,空,2023-06-19,2023-06-21,3189.0,3340.5464377999997,1,-1538.3177905322968,2,硬止损,11006.705652722261
M,空,2023-06-19,2023-06-29,3720.0,3736.0,1,-186.096,10,超时10天,10820.609652722262
RM,空,2023-06-26,2023-07-03,3277.0,3439.0910553999997,1,-1644.4168726938974,7,硬止损,9176.192780028365
